"division","semana","fecha","tipo_personal","n_trabajador_promedio_faena","casos_vigentes_minsal_acumulados","casos_vigentes_codelco_acumulados","total_casos_nuevos_confirmados_sint","total_casos_nuevos_confirmados_asint","total_pcr_realizadas","total_pcr_positivas","total_anticuerpo_realizadas","total_anticuerpo_positivas","total_antigeno_realizadas","total_antigeno_positivas","total_antigeno_pcr_positivas","n_contagio_laboral","total_casos_nuevos"
"DVEN","30",2020-07-26,"Propios","852","4","12","0","0","1","0","0","0","14","0","0","0",0
"DVEN","30",2020-07-26,"Contratistas","1085","6","14","0","0","0","0","0","0","4","0","0","0",0
"VP","30",2020-07-20,"Propios","12","5","7","0","0","0","0","0","0","0",NA,NA,"0",0
"VP","30",2020-07-20,"Contratistas","354","61","182","1","0","5","1","0","0","10","0",NA,"1",1
"VP","30",2020-07-21,"Propios","12","5","6","0","0","0","0","0","0",NA,NA,NA,"0",0
"VP","30",2020-07-21,"Contratistas","343","61","171","3","2","6","5","44","0","117","3","0","2",5
"VP","30",2020-07-22,"Propios","12","3","6","0","0","1","0","0","0","1","0",NA,"0",0
"VP","30",2020-07-22,"Contratistas","338","50","160","2","0","7","2","0","0","21","0",NA,"1",2
"VP","30",2020-07-23,"Propios","12","2","5","0","0","0","0","0","0","0","0",NA,"0",0
"VP","30",2020-07-23,"Contratistas","380","46","141","1","0","11","1","79","1","0","0",NA,"0",1
"VP","30",2020-07-24,"Propios","10","0","5","0","0","0","0","0","0","3",NA,NA,"0",0
"VP","30",2020-07-24,"Contratistas","348","35","136","1","1","13","2","0","0","103","1","pendiente","0",2
"VP","30",2020-07-25,"Propios","9","0","5","0","0","0","0","0","0","1","0",NA,NA,0
"VP","30",2020-07-25,"Contratistas","336","31","132","1","0","16","1","0","0","165","1","0","0",1
"VP","30",2020-07-26,"Propios","9","0","4","0","0","2","0","0","0","9","0",NA,"0",0
"VP","30",2020-07-26,"Contratistas","340","26","128","0","0","0","0","0","0","123","0",NA,"0",0
"CM","31",2020-07-27,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-07-27,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-07-28,"Propios","537","0","0","0","0","0","0","0","0","0","0","0","0",0
"CM","31",2020-07-28,"Contratistas","193","0","2","0","0","0","0","0","0","0","0","0","0",0
